time_s,roll_deg,pitch_deg,yaw_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps
8.430366039276123,0.917,1.332,-166.521,-0.244,0.183,1.892
8.435294151306152,0.918,1.332,-166.522,-0.183,0.183,1.892
8.440296173095703,0.918,1.332,-166.521,-0.244,0.183,1.953
8.444920063018799,0.916,1.332,-166.519,-0.427,0.183,1.953
8.449897050857544,0.912,1.331,-166.516,-0.488,0.244,1.953
8.45454716682434,0.909,1.331,-166.514,-0.549,0.183,1.831
8.459845066070557,0.906,1.331,-166.511,-0.549,0.183,1.831
8.464915990829468,0.904,1.33,-166.509,-0.366,0.183,1.77
8.469865798950195,0.903,1.33,-166.507,-0.183,0.244,1.892
8.474867820739746,0.902,1.329,-166.504,-0.183,0.183,1.892
8.479866981506348,0.901,1.329,-166.502,-0.183,0.244,1.892
8.484806060791016,0.899,1.328,-166.499,-0.305,0.244,1.892
8.489857912063599,0.896,1.328,-166.497,-0.488,0.244,1.892
8.494860887527466,0.893,1.327,-166.494,-0.488,0.244,1.892
8.499539852142334,0.89,1.326,-166.492,-0.549,0.244,1.892
8.504858016967773,0.888,1.326,-166.49,-0.488,0.244,1.892
8.50984787940979,0.886,1.326,-166.488,-0.305,0.244,1.892
8.514839887619019,0.885,1.325,-166.485,-0.122,0.244,1.892
8.519831895828247,0.884,1.325,-166.483,-0.183,0.244,1.892
8.525295972824097,0.883,1.324,-166.481,-0.244,0.244,1.892
8.529827117919922,0.881,1.324,-166.479,-0.427,0.244,1.892
8.534810066223145,0.879,1.324,-166.477,-0.488,0.244,1.892
8.539538145065308,0.876,1.324,-166.475,-0.549,0.183,1.892
8.54469609260559,0.874,1.323,-166.474,-0.488,0.244,1.831
8.549690008163452,0.873,1.323,-166.473,-0.366,0.305,1.831
8.554689884185791,0.873,1.323,-166.473,-0.244,0.305,1.831
8.559705972671509,0.873,1.323,-166.474,-0.244,0.244,1.831
8.56468915939331,0.873,1.323,-166.475,-0.244,0.244,1.892
8.569679975509644,0.873,1.323,-166.475,-0.366,0.244,1.892
8.574493169784546,0.872,1.323,-166.476,-0.549,0.183,1.831
8.580250024795532,0.872,1.323,-166.477,-0.488,0.183,1.831
8.584848165512085,0.871,1.324,-166.478,-0.488,0.183,1.831
8.589782953262329,0.871,1.324,-166.479,-0.427,0.183,1.892
8.59462285041809,0.871,1.324,-166.48,-0.305,0.244,1.892
8.599805116653442,0.872,1.323,-166.48,-0.244,0.244,1.892
8.604804992675781,0.872,1.323,-166.481,-0.244,0.244,1.892
8.609459161758423,0.873,1.323,-166.482,-0.244,0.244,1.831
8.614494800567627,0.873,1.323,-166.483,-0.366,0.244,1.831
8.619795799255371,0.872,1.322,-166.483,-0.488,0.244,1.892
8.624835968017578,0.872,1.322,-166.484,-0.488,0.244,1.892
8.62945818901062,0.871,1.322,-166.484,-0.488,0.244,1.892
8.634891033172607,0.872,1.322,-166.485,-0.366,0.244,1.892
8.640510082244873,0.872,1.321,-166.486,-0.305,0.305,1.892
8.644750118255615,0.873,1.321,-166.487,-0.305,0.305,1.892
8.64975094795227,0.874,1.321,-166.488,-0.305,0.244,1.892
8.654772996902466,0.875,1.322,-166.49,-0.305,0.244,1.892
8.659725904464722,0.875,1.322,-166.491,-0.427,0.244,1.831
8.6647469997406,0.875,1.322,-166.493,-0.488,0.244,1.831
8.669778108596802,0.875,1.322,-166.494,-0.427,0.244,1.892
8.67476487159729,0.875,1.322,-166.495,-0.427,0.183,1.831
8.679795980453491,0.875,1.322,-166.497,-0.366,0.183,1.892
8.684623956680298,0.876,1.322,-166.498,-0.305,0.244,1.892
8.68962287902832,0.876,1.322,-166.499,-0.305,0.244,1.892
8.694756984710693,0.877,1.323,-166.5,-0.305,0.244,1.892
8.699733018875122,0.877,1.323,-166.501,-0.427,0.183,1.831
8.704706907272339,0.877,1.323,-166.503,-0.427,0.183,1.831
8.709711074829102,0.876,1.324,-166.504,-0.488,0.183,1.892
8.714706182479858,0.876,1.324,-166.505,-0.488,0.244,1.892
8.719486236572266,0.876,1.323,-166.506,-0.366,0.305,1.953
8.724756956100464,0.877,1.323,-166.507,-0.244,0.305,1.892
8.72973108291626,0.878,1.324,-166.508,-0.244,0.244,1.892
8.73474407196045,0.878,1.324,-166.508,-0.366,0.244,1.892
8.7394380569458,0.878,1.324,-166.509,-0.488,0.244,1.953
8.744755983352661,0.878,1.324,-166.51,-0.488,0.183,1.892
8.749744176864624,0.877,1.324,-166.51,-0.488,0.183,1.892
8.755640029907227,0.877,1.325,-166.511,-0.366,0.244,1.953
8.759806156158447,0.878,1.325,-166.511,-0.244,0.244,1.953
8.764681816101074,0.878,1.324,-166.511,-0.244,0.244,1.953
8.769536972045898,0.878,1.324,-166.512,-0.305,0.244,1.953
8.774539947509766,0.877,1.324,-166.512,-0.488,0.244,1.892
8.779572010040283,0.877,1.325,-166.513,-0.488,0.183,1.831
8.784631967544556,0.876,1.324,-166.514,-0.488,0.244,1.831
8.789610862731934,0.877,1.324,-166.515,-0.427,0.244,1.831
8.794636011123657,0.877,1.324,-166.516,-0.305,0.183,1.831
8.799699068069458,0.878,1.323,-166.516,-0.183,0.183,1.892
8.80470895767212,0.879,1.324,-166.517,-0.183,0.244,1.892
8.809715032577515,0.879,1.323,-166.518,-0.244,0.244,1.831
8.81447696685791,0.879,1.324,-166.518,-0.366,0.183,1.831
8.819693088531494,0.878,1.324,-166.519,-0.549,0.183,1.892
8.824606895446777,0.877,1.324,-166.519,-0.671,0.183,1.892
8.829647064208984,0.875,1.324,-166.52,-0.61,0.244,1.892
8.834573984146118,0.875,1.324,-166.52,-0.427,0.244,1.892
8.839488983154297,0.876,1.324,-166.521,-0.183,0.244,1.892
